"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C34","ELEC_8MM_8MM","960.63mil","665.354mil","960.63mil","665.354mil","1029.527mil","665.354mil","T","180.00","220UF_16V_POLY_8X8"
"C33","0402C","1570.866mil","1460.63mil","1570.866mil","1460.63mil","1570.866mil","1443.898mil","B","90.00","0.1UF_16V, 0402"
"C32","0805C","1464.567mil","1543.307mil","1464.567mil","1543.307mil","1425.197mil","1543.307mil","B","360.00","10UF_10V, 0805"
"C29","1206C","1405.512mil","741.44mil","1405.512mil","741.44mil","1346.457mil","741.44mil","B","360.00","1000PF_2KV, 1206"
"C28","0603C","-1039.37mil","1161.417mil","-1039.37mil","1161.417mil","-1070.866mil","1161.417mil","T","360.00","10UF_6V, 0603"
"C27","0603C","-409.449mil","1323.457mil","-409.449mil","1323.457mil","-409.449mil","1354.953mil","B","270.00","10UF_6V, 0603"
"C26","0402C","-1055.118mil","1814.961mil","-1055.118mil","1814.961mil","-1071.85mil","1814.961mil","T","360.00","2.2UF_6V, 0402"
"C25","0402C","-326.772mil","1448.819mil","-326.772mil","1448.819mil","-310.039mil","1448.819mil","B","180.00","2.2UF_6V, 0402"
"C24","0402C","-901.575mil","1405.512mil","-901.575mil","1405.512mil","-901.575mil","1388.78mil","T","90.00","0.1UF_16V, 0402"
"C23","0402C","-570.866mil","1215.456mil","-570.866mil","1215.456mil","-587.598mil","1215.456mil","B","0.00","2.2UF_6V, 0402"
